RunNumber,EstimatedSpeed,MaxNeedleTorque,Rider,Maneuver,MinSpeed,MaxSpeed,MaxTorque,MinTorque,RotationSense
1,5,16,Jason,HalfCircle10,6,6,16,-2.2,-
2,11,34,Jason,HalfCircle10,10,10,34,-3.2,-
3,15,15,Jason,HalfCircle10,13,15,13,-2.6,-
4,15,25,Jason,HalfCircle10,12,15,7,-2.6,-
5,5,NA,Luke,HalfCircle10,5,5,24,-2.6,-
6,10,NA,Luke,HalfCircle10,9,9,25,-1.2,-
7,5,25,Luke,HalfCircle10,4,5,25,-2.2,-
8,11,16,Luke,HalfCircle10,8,9,16,-1.2,-
9,15,24,Luke,HalfCircle10,12,12,15,-0.8,-
10,15,35,Luke,HalfCircle10,15,15,10,-2.4,-
11a,NA,NA,Luke,HalfCircle6,5,8,15,-1.8,+
11b,NA,NA,Luke,HalfCircle6,6,6,30,-5,+
12,5,30,Luke,HalfCircle6,6,7,30,-3.6,+
13,5,30,Luke,HalfCircle6,7,7,23,-2.2,+
14,9,NA,Luke,HalfCircle6,7,10,15,-2.0,+
15,5,30,Jason,HalfCircle6,6,9,14,-2.2,+
16,5,32,Jason,HalfCircle6,4,7,22,-3.0,+
17,10,39,Jason,HalfCircle6,6,12,15,-1.0,+
18,5,23,Jason,LineTrack,5,5,23,-2.8,NA
19,5,11,Jason,LineTrack,5,5,11,-3.4,NA
20,11,21,Jason,LineTrack,10,11,21,-2.2,NA
21,11,16,Jason,LineTrack,11,12,16,-1.6,NA
22,5,19,Jason,LaneChange,4,4,19,-2.6,-
23,11,35,Jason,LaneChange,11,12,20,-2.0,-
24,11,31,Jason,LaneChange,11,12,23,-2.0,-
25,5,17,Luke,LineTrack,5,5,17,-2.2,NA
26,5,14,Luke,LineTrack,6,6,14,-1.6,NA
27,10,15,Luke,LineTrack,8,9,10,-1.2,NA
28,10,20,Luke,LineTrack,9,10,20,-1.0,NA
29,5,25,Luke,LaneChange,5,5,25,-1.4,-
30,5,20,Luke,LaneChange,5,5,20,-2.4,-
31,10,16,Luke,LaneChange,10,11,16,-2.2,-
32,10,26,Luke,LaneChange,9,10,26,-2.0,-
33,5,36,Jason,Slalom,5,5,36,-2.8,NA
34,5,22,Jason,Slalom,5,5,30,-3.2,NA
35,8,32,Jason,Slalom,8,8,32,-3.0,NA
36,8,29,Jason,Slalom,7,7,29,-2.0,NA
37,10,40,Jason,Slalom,9,9,40,-3.0,NA
38,10,40,Jason,Slalom,9,9,40,-3.0,NA
39,5,35,Luke,Slalom,4,4,35,-4.8,NA
40,5,31,Luke,Slalom,4,4,31,-3.2,NA
41,8,35,Luke,Slalom,8,8,35,-4.4,NA
42,8,29,Luke,Slalom,8,8,29,-4.0,NA
43,10,34,Luke,Slalom,10,11,34,-3.6,NA
44,10,32,Luke,Slalom,10,11,32,-3.0,NA
45,5,30,Jason,Circle10,5,5,30,-1.6,-
46,5,15,Jason,Circle10,5,6,15,-2.0,+
47,5,19,Jason,Circle10,5,5,25,-2.4,+
48,10,19,Jason,Circle10,9,10,15,-2.4,+
49,13,16,Jason,Circle10,12,13,20,-2.0,+
50,10,19,Jason,Circle10,10,10,19,-1.2,-
51,13,20,Jason,Circle10,12,13,20,-1.2,-
52,5,24,Jason,Circle5,4,5,20,-2.2,-
53,5,18,Jason,Circle5,4,4,7,-2.2,+
54,8,21,Jason,Circle5,8,8,21,-1.0,-
55,8,16,Jason,Circle5,7,8,9,-2.0,+
56,10,9,Jason,Circle5,9,10,15,-1.2,+
57,10,15,Jason,Circle5,10,11,15,-1.2,-
58,5,17,Jason,LineTrack,5,5,17,-1.4,NA
59,11,19,Jason,LineTrack,10,10,15,-2.0,NA
60,13,NA,Jason,LineTrack,13,13,11,-1.2,NA
61,13,NA,Jason,LineTrack,NA,NA,NA,NA,NA
62,8,15,Jason,LineTrack,8,8,15,-1.6,NA
63,13,17,Jason,LineTrack,13,13,15,-2.0,NA
64,14,NA,Jason,LineTrack,14,14,20,-1.6,NA
65,10,18,Jason,LineTrack,10,11,18,-2.0,NA
66,6,16,Jason,LineTrack,6,6,16,-2.0,NA
